player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
Johnny O'Bryant III,LSU,36,21315,15.4412,1.6176,0.5,0.9118,7.7059,98.6,101.845,2014,6.9,12,1
Miye Oni,Yale,58,44509,12.8621,2.7241,0.7241,1.1034,6.3448,106.5,101.628,2017,6.6,19,1
Terance Mann,Florida St.,48,41748,12.6176,2.5588,0.9118,0.2647,5.4412,117.4,101.998,2018,6.6,24,1
Malachi Flynn,Washington St.,29,44865,9.7419,2.9355,0.6774,0.0323,2.9355,93.8,113.397,2017,6.1,780,1
Dwight Powell,Stanford,45,17946,14.0278,3.1111,1.3056,0.8333,6.8611,101.3,98.4977,2014,6.10,27,1
Dion Waiters,Syracuse,4,14983,6.4848,1.5152,1.1212,0.1212,1.6061,108.1,95.5796,2011,6.4,116,1
Jordan Nwora,Louisville,45,50605,18,1.2903,0.7419,0.2581,7.7097,111.2,93.2958,2020,6.7,139,1
Tony Mitchell,North Texas,37,20151,13.1667,0.7333,1,2.7333,8.5,98.2,95.1947,2013,6.8,140,1
Matisse Thybulle,Washington,20,43029,6.2059,1.5882,1.1471,0.9412,3.2059,101.5,102.364,2016,6.5,29,1
K.J. McDaniels,Clemson,32,22137,3.9,0.2333,0.3333,0.6667,1.8333,105.7,95.2039,2012,6.5,221,1
Nico Mannion,Arizona,48,71327,14.0312,5.2812,1.1875,0,2.5,105.1,96.3594,2020,6.3,354,1
Alec Peters,Valparaiso,54,29744,16.7647,1.2353,0.7059,0.3235,6.6765,124.7,94.8609,2015,6.9,196,1
Cady Lalanne,Massachusetts,55,20635,11.3333,0.1818,0.5152,2.1818,7.9394,108.8,96.8706,2014,6.9,65,1
George King,Colorado,59,29633,1.5185,0.1852,0.1481,0.037,1.5185,78.8,96.8487,2014,6.5,1635,1
Rondae Hollis-Jefferson,Arizona,23,29198,11.2368,1.5526,1.1579,0.8421,6.8421,113.8,86.8974,2015,6.7,354,1
Kyle Kuzma,Utah,27,35219,16.4138,2.4483,0.6207,0.4828,9.3448,112.8,98.7643,2017,6.9,1458,1
Jalen Smith,Maryland,10,65495,11.697,0.8788,0.4242,1.2121,6.8182,113.6,97.7873,2019,6.10,40,1
Carsen Edwards,Purdue,33,47325,10.2857,1.7714,1.0571,0.0857,2.6,93.8,96.9139,2017,6.0,190,1
Rashad Vaughn,UNLV,17,37215,17.8261,1.5652,0.7826,0.3478,4.8261,101.4,100.566,2015,6.6,620,1
Jordan Clarkson,Tulsa,46,15896,11.4815,1.9259,0.7407,0.1111,2.0741,96.7,103.062,2011,6.4,191,1
Denzel Valentine,Michigan St.,14,26984,7.9737,3.7895,0.9737,0.3158,6,106.9,97.8927,2014,6.5,263,1
Andre Roberson,Colorado,26,17361,11.5882,1.2059,1.3529,1.8824,11,108.3,86.0431,2012,6.7,1635,1
John Henson,North Carolina,14,10202,11.7027,0.8108,0.5946,3.1892,10.1081,98.1,85.5676,2011,6.10,134,1
Adreian Payne,Michigan St.,15,16825,10.4857,0.7143,0.7429,1.2571,7.5143,114.2,87.7897,2013,6.10,263,1
Jacob Evans III,Cincinnati,28,38797,13,3.1389,1.3056,0.9722,4.7222,114.2,87.5121,2018,6.6,235,1
Cory Jefferson,Baylor,60,22196,13.3889,0.2778,0.4722,1.9444,7.8611,128.6,94.5113,2013,6.9,122,1
Gorgui Dieng,Louisville,21,18642,9.1,1.05,1.175,3.2,9.075,104.3,84.6546,2012,6.11,139,1
Jabari Bird,California,56,31372,14.3333,1.037,0.6667,0.2222,4.7037,107,96.9727,2017,6.6,93,1
Jaylen Nowell,Washington,43,52287,16.1667,3.1111,1.2778,0.25,5.2778,108.6,97.3948,2019,6.4,29,1
Luke Harangody,Notre Dame,52,3225,21.7667,1.5667,0.4667,0.6667,9.1,113,103.004,2010,6.8,224,1
Tyshawn Taylor,Kansas,41,13567,7.2222,3.3611,1.2778,0.1944,2.4167,107.5,96.4159,2010,6.3,310,1
Darius Garland,Vanderbilt,5,65919,16.2,2.6,0.8,0.4,3.8,110.1,105.122,2019,6.2,173,1
Chuma Okeke,Auburn,16,51602,7.5,1.1176,0.6765,0.7353,5.7941,119.3,98.5646,2018,6.8,201,1
Peyton Siva,Louisville,56,13289,9.1316,5.5526,1.6842,0.1316,3.1842,92.1,91.7182,2012,6.0,139,1
Chinanu Onuaku,Louisville,37,35483,9.9032,1.6452,0.7742,2,8.4839,112.7,84.2337,2016,6.10,139,1
Jarnell Stokes,Tennessee,35,23999,12.3636,1.2727,0.697,1.1212,9.6364,107.4,94.0974,2013,6.8,286,1
Marcus Denmon,Missouri,59,5174,10.4412,1.4118,0.8529,0.1176,2.9412,117.9,95.7303,2010,6.3,228,1
JT Thor,Auburn,37,73213,9.3704,0.8519,0.8148,1.3704,5.037,105.7,100.674,2021,6.10,201,1
Aaron White,Iowa,49,22631,16.4118,1.4118,1.3235,0.4706,7.2941,128.1,93.0969,2015,6.9,219,1
Isaiah Jackson,Kentucky,22,73524,8.44,0.72,0.76,2.6,6.6,108,89.5823,2021,6.10,307,1
Lamar Patterson,Pittsburgh,48,18530,17.1111,4.2778,1.4167,0.3333,4.8611,112.7,96.5636,2014,6.5,328,1
Isaiah Canaan,Murray St.,34,14625,22.4138,4.2759,1.5862,0.1379,3.4483,112.4,101.604,2013,6.1,160,1
Marial Shayok,Iowa St.,54,35662,18.7353,1.9706,0.9412,0.2353,4.9118,111.9,102.592,2019,6.6,291,1
Xavier Thames,Washington St.,59,21860,4.7333,1.2667,0.8,0.0333,1.4667,96.1,106.11,2010,6.3,780,1
Justinian Jessup,Boise St.,51,48123,16,2.0938,1.4062,0.4688,4.4375,116.1,98.4847,2020,6.7,820,1
Jeremy Lamb,Connecticut,12,18051,11.1463,1.6098,0.8537,0.6098,4.4634,116.6,98.9458,2011,6.5,188,1
A.J. Hammons,Purdue,46,24381,11.9118,0.9118,0.5,2.8235,6.6471,104.2,93.5923,2015,7.0,190,1
Tre Mann,Florida,18,70993,16.0417,3.4583,1.375,0.1667,5.625,109.9,98.18,2021,6.5,31,1
Darius Miller,Kentucky,46,7229,5.3056,2,0.75,0.6111,3.0556,95.5,95.8346,2009,6.8,307,1
Quinndary Weatherspoon,Mississippi St.,49,41354,16.4828,1.8276,1.7241,0.2759,5.1034,107.6,99.38,2017,6.4,116,1
Marshon Brooks,Providence,25,14026,14.2258,1.4194,1.3226,0.5161,4.1613,114.6,110.912,2010,6.5,46,1
R.J. Barrett,Duke,3,65854,22.6316,4.3158,0.8947,0.4211,7.5789,108,95.1227,2019,6.7,120,1
Vincent Edwards,Purdue,52,47002,14.6,2.8857,0.5143,0.6,7.4,116.6,97.0164,2018,6.8,190,1
Travis Leslie,Georgia,47,8206,14.7742,2.5161,1.2903,0.9677,6.8387,107.7,101.662,2010,6.4,222,1
Michael Carter-Williams,Syracuse,11,23112,11.85,7.3,2.775,0.475,4.875,102.6,86.8313,2013,6.6,116,1
JaJuan Johnson,Purdue,27,203,15.4857,0.7429,0.8571,2.0571,7.1429,107.9,88.7911,2010,6.10,190,1
Josh Huestis,Stanford,29,18382,10.5294,0.8824,0.7647,2.0882,9.0294,108.5,93.0473,2013,6.7,27,1
Noah Vonleh,Indiana,9,29985,11.2667,0.6,0.8667,1.3667,8.9667,109.1,90.637200000000007,2014,6.10,235,1
Larry Nance Jr.,Wyoming,27,20039,16.0645,2.4516,1.1935,1.1935,7.2258,106.3,91.6832,2015,6.8,2205,1
Mason Plumlee,Duke,22,12278,17.0833,1.9444,1,1.4444,9.9722,113.1,90.9172,2013,6.10,120,1
Justin Harper,Richmond,32,3094,10.6,1,0.7714,0.8857,5.4,108.9,92.7292,2010,6.10,47,1
Peyton Siva,Louisville,56,13289,9.9143,5.2,1.9714,0.1714,3.1143,102.3,92.2133,2011,5.11,139,1
Corey Kispert,Gonzaga,15,51050,6.7429,0.7429,0.2857,0.1714,3.1714,120.1,100.278,2018,6.6,582,1
Carrick Felix,Arizona St.,33,18207,14.6,1.6286,1.4286,1.1143,8.1429,110.3,95.093,2013,6.6,354,1
Trey Thompkins,Georgia,37,8201,12.6429,0.7857,0.9643,1.1071,7.3571,95.5,93.6352,2009,6.10,222,1
Sindarius Thornwell,South Carolina,48,29814,20.7188,2.6875,2.0625,0.9375,6.9062,118.2,88.3804,2017,6.5,95,1
Scottie Barnes,Florida St.,4,72657,10.3333,4.0833,1.4583,0.4583,4,107.5,97.4474,2021,6.9,24,1
C.J. McCollum,Lehigh,10,17390,22.3529,3.5294,2.6176,0.5588,6.5588,114.5,89.3988,2012,6.3,283,1
Chandler Hutchison,Boise St.,22,36559,3.1034,0.7931,0.4828,0.1379,1.9655,94.4,95.5577,2015,6.7,820,1
