player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted
Damyean Dotson,Houston,44,41447,17.4545,1.0909,0.9091,0.1515,6.8182,125.7,97.3145,2017,6.5,12,1
Greivis Vasquez,Maryland,28,465,20.0312,6.3438,1.7188,0.3438,4.7188,111.7,97.2737,2010,6.6,40,1
Darius Miller,Kentucky,46,7229,6.4737,1.5263,0.5789,0.5789,2.5,114.2,96.7919,2010,6.7,307,1
Abdel Nader,Northern Illinois,58,34544,13.0526,0.8947,1.3158,0.5263,5.6316,80.2,94.3871,2013,6.7,268,1
Keita Bates-Diop,Ohio St.,48,33637,19.7647,1.6471,0.9118,1.6471,8.7059,114.5,93.7832,2018,6.7,226,1
George King,Colorado,59,29633,11.0588,0.7353,0.4706,0.2059,6.7647,106.3,104.696,2017,6.6,1635,1
Kyle Guy,Virginia,55,48211,15.4211,2.0526,0.6842,0.0526,4.5,120.4,95.7696,2019,6.2,201,1
Isaiah Thomas,Washington,60,8712,16.9429,3.1714,1.0571,0.0857,3.9143,108.7,98.0477,2010,5.8,29,1
Armon Johnson,Nevada,34,4048,15.6364,5.5152,0.8485,0.3636,3.3333,103.9,109.698,2010,6.3,1392,1
Quinndary Weatherspoon,Mississippi St.,49,41354,18.5,2.8235,1.6765,0.3235,4.6765,116.3,103.213,2019,6.4,116,1
Joe Wieskamp,Iowa,41,66492,11.0857,1.1143,0.8857,0.4571,4.9143,122.7,104.166,2019,6.6,219,1
C.J. Wilcox,Washington,28,15155,18.3438,2.5312,1,1,3.7188,119.6,108.415,2014,6.5,29,1
Marcus Denmon,Missouri,59,5174,17.0303,1.7879,1.7879,0.0909,3.4242,129.3,100.21,2011,6.3,228,1
Quincy Pondexter,Washington,26,3829,19.3056,1.75,1.2778,0.5833,7.3611,123,95.2815,2010,6.6,29,1
Justise Winslow,Duke,10,38640,12.6154,2.1026,1.3333,0.8718,6.4615,112.2,92.0154,2015,6.6,120,1
Hamidou Diallo,Kentucky,45,51454,10.027,1.2432,0.7568,0.3514,3.6216,101.1,102.116,2018,6.5,307,1
Ty Jerome,Virginia,24,45185,4.3235,1.4706,0.4412,0.0588,1.6176,109.6,92.7871,2017,6.5,201,1
Patrick Williams,Florida St.,4,72084,9.2414,1,1,1.0345,3.9655,104.2,93.4429,2020,6.8,24,1
Bobby Portis,Arkansas,22,29460,12.2941,1.4706,1.0294,1.5882,6.7647,116.1,94.564,2014,6.10,437,1
Jamal Murray,Kentucky,7,41317,20,2.1944,0.9722,0.3056,5.1667,118,101.145,2016,6.4,307,1
James Anderson,Oklahoma St.,20,2812,18.2286,1.3714,1.1429,0.6857,5.6571,120.2,103.533,2009,6.6,286,1
Tyrone Wallace,California,60,27397,11.2857,2.7143,1.2571,0.4571,4.1429,103.9,103.898,2014,6.4,93,1
Damion James,Texas,24,825,15.4286,1.3429,0.9714,0.8571,9.2,107.3,91.6286,2009,6.7,159,1
Chase Budinger,Arizona,44,217,18,3.3714,1.4286,0.4571,6.2,117.5,105.009,2009,6.7,354,1
Tyler Bey,Colorado,36,52083,6.125,0.5,0.625,0.6875,5.0938,101.5,99.8524,2018,6.7,1635,1
DeAndre Liggins,Kentucky,53,7228,4.2121,2.7576,0.7273,0.4242,2.3636,82.1,93.5736,2009,6.6,307,1
Adreian Payne,Michigan St.,15,16825,16.4194,1.3226,0.4839,0.9032,7.2581,113.5,96.6971,2014,6.10,263,1
Tyler Bey,Colorado,36,52083,13.5556,0.6389,0.8333,1.2222,9.8889,110.4,88.2851,2019,6.7,1635,1
Dillon Brooks,Oregon,45,37385,16.8108,3.1622,1.0811,0.3784,5.3784,113.3,101.958,2016,6.7,136,1
Kris Joseph,Syracuse,51,4748,10.8286,1.7429,1.3714,0.4,5.5429,111.4,93.7827,2010,6.7,116,1
Magnum Rolle,Louisiana Tech,51,4861,12.037,0.963,0.9259,1.7778,7.4444,104.9,91.4724,2009,6.11,93,1
Eric Maynor,VCU,20,295,22.3529,6.1765,1.7059,0.1765,3.5882,117.3,96.5092,2009,6.2,59,1
Jaylen Nowell,Washington,43,52287,16.0294,2.7059,1.0588,0.2647,3.9706,104.2,105.376,2018,6.4,29,1
Keita Bates-Diop,Ohio St.,48,33637,11.7576,1.0909,0.7273,1.2424,6.3636,109.4,98.6429,2016,6.7,226,1
Jericho Sims,Texas,58,51301,9.2308,0.6538,0.7308,1.0769,7.2308,112.1,92.7025,2021,6.10,159,1
Otto Porter,Georgetown,3,19628,9.5,1.5625,1.125,0.8438,6.8125,116,89.0802,2012,6.8,43,1
Tony Carr,Penn St.,51,49590,19.5946,5.027,0.8108,0.2973,4.9459,112,101.27,2018,6.5,370,1
Chandler Hutchison,Boise St.,22,36559,6.1034,1.2759,0.6207,0.3103,3.9655,105.6,101.436,2016,6.7,820,1
Keith Benson,Oakland,48,2763,17.303,0.8182,0.4545,3.4848,10.5152,118,95.9719,2010,6.11,286,1
Lazar Hayward,Marquette,30,1257,16.2857,1.1143,1,0.2571,8.6286,114.8,98.2842,2009,6.6,198,1
Frank Kaminsky,Wisconsin,9,21292,18.7692,2.641,0.8462,1.4615,8.2051,126.2,91.4999,2015,7.0,269,1
Charles Jenkins,Hofstra,44,57,21,3.9697,1.8182,0.5455,4.6061,109.4,98.4249,2010,6.3,24,1
Jeremy Evans,Western Kentucky,55,331,8.5455,0.3333,0.6061,2.0606,5.7576,124.7,97.5337,2009,6.9,161,1
Markieff Morris,Kansas,13,4369,6.75,1.0833,0.4444,0.9722,5.3056,111,90.9836,2010,6.9,310,1
Vince Edwards,Purdue,52,47002,11.3429,2.8571,0.5429,0.3143,5.3714,116,97.1533,2016,6.8,190,1
Greivis Vasquez,Maryland,28,465,17.5143,5.0286,1.4,0.3714,5.4,106.1,99.084,2009,6.6,40,1
Tiny Gallon,Oklahoma,47,11036,10.3333,0.8,0.7,0.7667,7.9333,102.9,102.044,2010,6.9,355,1
Isaiah Whitehead,Seton Hall,42,35622,18.1765,5.0882,1.1765,1.4412,3.5882,102.1,96.5495,2016,6.4,77,1
Jordan Bone,Tennessee,57,49185,7.2174,2.8696,0.5217,0,1.6957,95.4,106.022,2017,6.1,286,1
Joe Harris,Virginia,33,17280,10.4194,1.2581,0.871,0.3548,4.3548,105.3,100.621,2011,6.6,201,1
Terrence Ross,Washington,8,18838,8.0294,0.9706,0.5588,0.3529,2.8235,117.9,98.3958,2011,6.6,29,1
Gerald Henderson,Duke,12,2016,16.4865,2.4595,1.2432,0.7568,4.9459,110.6,94.2551,2009,6.5,120,1
Joel Bolomboy,Weber St.,52,24934,6.4857,0.4286,0.3714,1.6857,7.0286,105.5,88.666,2013,6.9,1437,1
Quincy Acy,Baylor,37,9007,12.5,0.8667,0.9333,1.5,7.6333,109.3,93.5673,2011,6.7,122,1
Thomas Robinson,Kansas,5,14520,2.5152,0.2727,0.2121,0.5455,2.6667,88.1,87.1019,2010,6.9,310,1
Aaron Gordon,Arizona,4,29525,12.3684,1.9737,0.8947,1.0263,7.9737,105.5,87.7492,2014,6.8,354,1
Andrew Wiggins,Kansas,1,31626,17.0571,1.5429,1.1714,0.9714,5.8571,112.3,101.712,2014,6.8,310,1
Grayson Allen,Duke,21,37731,21.6389,3.5278,1.3056,0.1389,4.5833,124.9,106.354,2016,6.5,120,1
Chris McCullough,Syracuse,29,35808,9.3125,1.125,1.6875,2.0625,6.875,92.5,87.8528,2015,6.10,116,1
Davion Mitchell,Auburn,9,51367,3.7059,1.8529,0.5294,0.0294,1.1471,99.6,105.402,2018,6.1,201,1
Chinemelu Elonu,Texas A&M,59,1103,9.7273,0.303,0.303,1.5758,7.2121,112,96.6677,2009,6.10,30,1
Anthony Edwards,Georgia,1,71877,19.0625,2.8438,1.3438,0.5625,5.2188,103,102.774,2020,6.5,222,1
Quincy Acy,Baylor,37,9007,9.2,0.2857,0.4571,0.7714,5.0857,124.4,99.0395,2010,6.7,122,1
Mfiondu Kabengele,Florida St.,27,48424,13.2162,0.2973,0.5676,1.5135,5.9459,116.5,92.1315,2019,6.10,24,1
Erik Murphy,Florida,49,13540,3.4848,0.2424,0.3636,0.2424,2.3939,111,95.173,2010,6.9,31,1
Blake Griffin,Oklahoma,1,2804,22.6857,2.2857,1.1143,1.1714,14.4,117.6,87.4256,2009,6.10,355,1
Otto Porter,Georgetown,3,19628,16.1613,2.7097,1.8387,0.9032,7.4839,118.8,84.1473,2013,6.8,43,1
David Johnson,Louisville,47,70419,12.6316,3.2105,1.0526,0.2632,5.7895,93.7,98.9911,2021,6.5,139,1
CJ Elleby,Washington St.,46,65531,14.7188,3,1.0312,0.5625,7.0938,98.7,108.053,2019,6.6,780,1
K.J. McDaniels,Clemson,32,22137,17.0556,1.5833,1.1389,2.7778,7.0833,111.4,89.9203,2014,6.5,221,1
Miye Oni,Yale,58,44509,17.1379,3.5517,0.8966,1.2759,6.2759,106,98.1772,2019,6.6,19,1
Sir'Dominic Pointer,St. John's,53,22208,6.5938,1.5312,1.5938,0.9062,4.625,87.2,102.447,2012,6.5,39,1
Alize Johnson,Missouri St.,50,46797,14.7576,1.9091,0.6061,0.1818,10.6364,112.6,101.79,2017,6.9,406,1
Alec Brown,Green Bay,50,19005,10.2903,0.4194,0.3548,1.9677,5.5806,107.2,102.079,2011,7.1,182,1
Dominique Jones,South Florida,25,2231,18.096800000000002,3.9355,1.3226,0.3871,5.5806,105.2,102.47,2009,6.4,15,1
Elliot Williams,Duke,22,11987,4.2353,0.6765,0.6176,0.0294,2.2647,96.9,97.6542,2009,6.4,120,1
P.J. Hairston,North Carolina,26,22782,14.697,1.2727,1.2121,0.4242,4.4242,119.8,96.5317,2013,6.6,134,1
Mike Scott,Virginia,43,4079,17.9688,1.1562,0.6562,0.4688,8.2812,115,86.3756,2012,6.8,201,1
Luka Garza,Iowa,52,51595,23.871,1.1613,0.8387,1.7742,9.8387,117,98.5488,2020,6.11,219,1
Jordan Hamilton,Texas,26,11388,18.6389,2.1111,0.8611,0.6389,7.6667,113.6,89.7318,2011,6.7,159,1
Thomas Bryant,Indiana,42,40461,12.5588,1.4706,0.7647,1.5294,6.6471,112,100.983,2017,6.10,235,1
Melvin Frazier,Tulane,35,39519,11.4667,1.5333,1.8667,0.4667,4.6,95.5,105.88,2017,6.5,0,1
Josh Christopher,Arizona St.,24,72758,14.2667,1.4,1.4667,0.5333,4.7333,99.2,103.024,2021,6.5,354,1
Aaron White,Iowa,49,22631,12.8485,1.8182,0.9697,0.5758,6.6667,122.6,97.7295,2014,6.9,219,1
Abdel Nader,Northern Illinois,58,34544,10.3333,1,0.6667,0.7333,4.1667,78.5,105.971,2012,6.7,268,1
A.J. Hammons,Purdue,46,24381,10.5588,0.6176,0.3235,1.9706,6,103.2,94.9817,2013,7.0,190,1
D.J. Wilson,Michigan,17,36619,2.6,0.2,0.16,0.4,0.68,102.1,101.119,2016,6.10,268,1
Quinndary Weatherspoon,Mississippi St.,49,41354,11.9677,1.3871,1.3548,0.5161,4.7097,110.3,101.61,2016,6.4,116,1
Shake Milton,SMU,54,39043,18,4.3636,1.4091,0.6364,4.6818,119.8,99.4079,2018,6.6,177,1
Fab Melo,Syracuse,22,14982,7.8,0.7,0.5,2.9333,5.8333,110.3,92.5235,2012,7.0,116,1
Franz Wagner,Michigan,8,70394,11.5556,1,1.2593,0.5926,5.5926,105.5,95.3591,2020,6.9,268,1
Quinndary Weatherspoon,Mississippi St.,49,41354,14.4324,3.3243,1.4054,0.3243,6,108.7,97.6558,2018,6.4,116,1
Ben Bentil,Providence,51,34801,21.0857,1.1429,0.8571,1.0286,7.6571,112.2,98.8119,2016,6.9,46,1
Cole Aldrich,Kansas,11,763,11.2778,0.8611,0.75,3.4722,9.8333,116.9,84.64,2010,6.11,310,1
Isaiah Stewart,Washington,16,71545,16.9688,0.8438,0.5312,2.0938,8.7812,115.7,92.5887,2020,6.9,29,1
Ty Jerome,Virginia,24,45185,13.5676,5.4595,1.5405,0.027,4.2162,119.1,91.6552,2019,6.5,201,1
Rondae Hollis-Jefferson,Arizona,23,29198,9.1316,1.4474,0.7368,1.0526,5.6579,113.1,88.6868,2014,6.7,354,1
Branden Dawson,Michigan St.,56,23692,8.3548,0.9355,0.9355,0.8387,4.4839,110,89.7086,2012,6.6,263,1
Kris Joseph,Syracuse,51,4748,13.4054,1.5135,1.3514,0.6216,4.7027,110.6,95.3043,2012,6.7,116,1
Landry Shamet,Wichita St.,26,40045,11.5,3.25,0.6667,0.1944,2.7778,130.3,95.0558,2017,6.4,426,1
Terance Mann,Florida St.,48,41748,5.2059,0.8824,0.6176,0.2059,3.7059,114,102.582,2016,6.6,24,1
Nick Johnson,Arizona,42,21067,16.2632,2.8158,1.1316,0.6579,4.0526,114.1,91.4723,2014,6.3,354,1
De'Anthony Melton,USC,46,47673,8.3333,3.4722,1.9167,1.0278,4.7222,108,99.2402,2017,6.4,57,1
A.J. Price,Connecticut,52,25744,14.5882,4.7059,0.6471,0,3.5588,108.5,97.4776,2009,6.2,188,1
Carsen Edwards,Purdue,33,47325,18.5405,2.8108,1.1351,0.2162,3.8378,117.3,97.2223,2018,6.1,190,1
De'Aaron Fox,Kentucky,5,47561,16.6944,4.5833,1.4722,0.1944,3.9722,110.7,96.0513,2017,6.3,307,1
Sir'Dominic Pointer,St. John's,53,22208,5.8788,1.8485,1.2121,1.0606,3.1515,99.7,95.031,2014,6.5,39,1
Darius Miller,Kentucky,46,7229,10.8947,1.7368,0.8421,1.1316,4.5526,118.1,96.9049,2011,6.7,307,1
Jerome Robinson,Boston College,13,43548,20.7714,3.3143,0.8571,0.1429,3.6,114.7,108.007,2018,6.5,47,1
Sterling Brown,SMU,46,32989,4.3514,1.0811,0.7297,0.2973,3.7568,100.5,94.41,2014,6.6,177,1
Alec Brown,Green Bay,50,19005,15.6296,1.0741,0.5556,2.8148,5.4074,108.8,97.5755,2014,7.1,182,1
T.J. Warren,North Carolina St.,14,26777,12.1429,0.8,1.2,0.4286,4.1714,125.4,103.595,2013,6.8,123,1
Festus Ezeli,Vanderbilt,30,4250,3.7419,0.0968,0.1935,1.2903,3.129,85.1,94.5733,2010,6.11,173,1
Mikal Bridges,Villanova,10,37054,6.35,0.875,1.05,0.65,3.2,125.2,92.0014,2016,6.7,140,1
Justin Wright-Foreman,Hofstra,53,43169,27.0857,2.9143,0.8571,0.2,4.0286,120.7,108.29,2019,6.2,24,1
Jalen Suggs,Gonzaga,5,72863,14.3,4.5333,1.9,0.3333,5.3333,110.4,90.185,2021,6.4,582,1
Michael Gbinije,Syracuse,49,21893,12.7,3.6,1.8667,0.3667,5,105.8,95.0975,2015,6.7,116,1
Khyri Thomas,Creighton,38,39884,15.0606,2.7879,1.697,0.2424,4.3636,120.3,102.292,2018,6.3,339,1
Frank Mason,Kansas,34,41006,5.4571,2.0571,0.5143,0.0286,1.3143,105.8,105.627,2014,5.11,310,1
Kawhi Leonard,San Diego St.,15,13395,15.5588,2.5588,1.4706,0.5882,10.7059,108.7,85.3916,2011,6.6,133,1
Dwight Powell,Stanford,45,17946,8.129,0.9677,0.7742,0.9032,5.1613,102.6,94.4292,2011,6.9,27,1
Danny Green,North Carolina,46,900,12.7297,2.7297,1.7838,1.3243,4.6216,120.8,93.2879,2009,6.5,134,1
Miles Bridges,Michigan St.,12,44723,17.1176,2.6471,0.6176,0.7647,6.9706,116.2,94.6045,2018,6.7,263,1
Nah'Shon Hyland,VCU,26,70684,9,1.8387,0.8387,0.3226,2.1935,109.6,95.8673,2020,6.3,59,1
Jaden McDaniels,Washington,28,71487,12.9677,2.0645,0.7742,1.2581,5.7742000000000004,91.9,94.5189,2020,6.9,29,1
Isaiah Canaan,Murray St.,34,14625,11.6,2.2667,0.9333,0.1,1.8333,106.7,101.306,2011,6.0,160,1
Josh Green,Arizona,18,71436,11.9,2.6,1.5333,0.4333,4.5667,107.6,92.1888,2020,6.6,354,1
Daniel Hamilton,Connecticut,56,35659,10.8571,3.6571,0.9429,0.3714,7.6286,96.1,91.7819,2015,6.7,188,1
Scottie Lewis,Florida,56,70994,7.8571,1.4762,1.5714,1.0476,3.0952,97.9,97.0411,2021,6.5,31,1
Jakob Poeltl,Utah,9,35220,17.2857,1.9143,0.6,1.5143,9.0571,124,98.6568,2016,7.0,1458,1
Terrence Jones,Kentucky,18,15374,15.6579,1.5789,1.1316,1.8947,8.8421,105.6,89.1825,2011,6.8,307,1
Tyreke Evans,Memphis,4,9524,17.0811,3.8649,2.0811,0.7838,5.3514,101.8,82.1427,2009,6.6,100,1
Kentavious Caldwell-Pope,Georgia,8,21152,18.4688,1.8125,2.0312,0.5312,7.0625,112.7,89.8474,2013,6.5,222,1
Robert Dozier,Memphis,60,2746,12.8919,1.4324,1.2703,1.6486,7.4595,114.4,83.901,2009,6.9,100,1
Trey Burke,Michigan,9,21380,18.5789,6.6316,1.6053,0.5263,3.2105,121.4,98.2568,2013,6.0,268,1
Solomon Hill,Arizona,23,11698,12.9143,2.6,1.0286,0.5143,7.7429,110.6,92.765,2012,6.6,354,1
James Young,Kentucky,17,28736,14.325,1.675,0.75,0.2,4.275,111.7,103.077,2014,6.6,307,1
Luke Kennard,Duke,12,40143,11.8056,1.5,0.9444,0.1667,3.5833,120.7,106.756,2016,6.5,120,1
Aaron White,Iowa,49,22631,13,1.3243,1.1081,0.6757,6.0811,114.5,93.119,2013,6.8,219,1
Deandre Daniels,Connecticut,37,25301,12.1,0.6667,0.8333,1.5,5.4667,100.1,95.3733,2013,6.8,188,1
Malachi Flynn,San Diego St.,29,44865,17.625,5.0312,1.75,0.0938,4.4688,121.5,89.9442,2020,6.1,133,1
Grant Williams,Tennessee,22,49187,12.5625,1.125,0.8125,1.9062,5.9062,107.6,99.412,2017,6.5,286,1
Jared Butler,Baylor,40,66113,16,3.1333,1.6333,0.1333,3.2333,107.8,91.1236,2020,6.3,122,1
Taj Gibson,USC,26,1132,14.2857,1.2571,0.9714,2.8571,9.0286,117.1,91.7663,2009,6.9,57,1
Devon Hall,Virginia,53,35972,11.6765,3.1471,0.8529,0.1471,4.2059,122.6,91.4933,2018,6.5,201,1
Kyle Kuzma,Utah,27,35219,3.3226,0.6129,0.0323,0.1613,1.7742,102.4,92.0979,2015,6.9,1458,1
P.J. Hairston,North Carolina,26,22782,5.7297,0.7568,0.3784,0.1622,2.1892,103.9,95.375,2012,6.6,134,1
Jermaine Taylor,UCF,32,495,26.0333,1.8,1.2333,0.7333,5.2,112.9,103.129,2009,6.4,28,1
Ben McLemore,Kansas,7,24760,15.9189,1.973,1,0.6757,5.1892,118.7,92.3885,2013,6.5,310,1
Tyrell Terry,Stanford,31,70571,14.6452,3.1935,1.3871,0.0645,4.4839,106,90.4644,2020,6.1,27,1
Joe Harris,Virginia,33,17280,11.3125,1.7188,0.7188,0.375,3.875,109.2,90.7005,2012,6.6,201,1
Jordan Hill,Arizona,8,215,18.2647,1.4706,0.8824,1.7059,11.0294,108.9,101.241,2009,6.10,354,1
Kyle Guy,Virginia,55,48211,7.5294,1.3235,0.3824,0.0294,1.6765,114.8,96.5561,2017,6.3,201,1
Tony Carr,Penn St.,51,49590,13.2121,4.2121,0.6667,0.2727,4.7879,96.2,102.978,2017,6.3,370,1
Brandon Knight,Kentucky,8,18154,17.2895,4.1842,0.6579,0.2105,4.0263,107.8,100.305,2011,6.3,307,1
Ray McCallum,Detroit,36,17384,15.3824,3.9118,1.5,0.2059,4.5588,110,101.972,2012,6.1,197,1
Pierre Jackson,Baylor,42,23090,13.9459,5.9189,1.8108,0.0811,2.8378,111.8,98.9972,2012,5.10,122,1
Alec Burks,Colorado,12,14778,20.5135,2.973,1.0811,0.2973,6.4595,116.2,105.007,2011,6.6,1635,1
Raiquan Gray,Florida St.,59,65720,3.9167,0.75,0.8056,0.1667,2.3056,98.3,92.1865,2019,6.8,24,1
Tyshawn  Taylor,Kansas,41,13567,9.7143,2.9714,1.0857,0.2286,2.1714,104.8,97.398,2009,6.3,310,1
J.P. Tokoto,North Carolina,58,24418,8.3158,4.2895,1.4737,0.3421,5.6053,101.4,96.9102,2015,6.5,134,1
Montrezl Harrell,Louisville,32,26468,14.027,1.2162,1.027,1.3243,8.4054,117.8,86.5667,2014,6.8,139,1
Miles Plumlee,Duke,26,8402,4.7568,0.3514,0.5946,0.4595,4.8919,107.2,89.9131,2011,6.10,120,1
Xavier Henry,Kansas,12,10527,13.4167,1.4722,1.5,0.5,4.3611,113.7,94.3044,2010,6.6,310,1
Scottie Lewis,Florida,56,70994,8.5,0.7667,1.2,1.2,3.6,109.7,97.4749,2020,6.5,31,1
Brandon Ingram,Duke,2,40152,17.3333,1.9722,1.1111,1.3611,6.7778,112.1,103.403,2016,6.9,120,1
Jon Diebler,Ohio St.,51,1926,12.6486,2.3784,0.973,0.1351,2.6486,141.9,97.5841,2011,6.6,226,1
Josh Harrellson,Kentucky,45,7227,3.6176,0.2353,0.2647,0.5882,2.4706,98,91.7465,2009,6.10,307,1
Mike Muscala,Bucknell,44,14685,9.8667,0.7667,0.3,2.1667,4.9333,107,99.414,2010,6.10,160,1
Jordan Adams,UCLA,22,25494,17.3889,2.3333,2.6389,0.1389,5.3333,121.5,95.7886,2014,6.5,115,1
Jeff Ayres,Arizona St.,31,49752,14.5429,0.8857,0.4857,0.8571,8.2,130.8,95.9973,2009,6.10,354,1
Isaiah Canaan,Murray St.,34,14625,19.3667,3.5333,1.2667,0.0667,3.6,120.4,95.2616,2012,6.0,160,1
Saben Lee,Vanderbilt,38,50484,18.5625,4.1875,1.5312,0.2812,3.5312,108.4,106.691,2020,6.2,173,1
Luka Garza,Iowa,52,51595,12.1212,1.0606,0.3333,0.9697,6.3939,122.4,107.716,2018,6.11,219,1
Dillon Brooks,Oregon,45,37385,16.1143,2.7143,1.0857,0.4571,3.2286,113.3,97.4912,2017,6.7,136,1
Jerian Grant,Notre Dame,19,23810,16.5263,6.6316,1.6579,0.5,3.0263,122.2,102.954,2015,6.5,224,1
OG Anunoby,Indiana,23,41594,11.0625,1.4375,1.3125,1.3125,5.4375,115.6,98.5464,2017,6.8,235,1
Willie Cauley-Stein,Kentucky,6,24136,6.8108,0.6757,1.1892,2.8649,6.0811,118.9,90.5407,2014,7.0,307,1
Sam Dekker,Wisconsin,18,25362,13.9,1.225,0.525,0.45,5.5,125.8,98.6443,2015,6.9,269,1
Bruno Fernando,Maryland,34,51951,13.5882,2,0.6471,1.8824,10.6471,114.7,91.1087,2019,6.10,40,1
Lonzo Ball,UCLA,2,44633,14.5556,7.6111,1.8333,0.7778,6,129.4,99.8459,2017,6.6,115,1
Jared Cunningham,Oregon St.,24,13618,17.9429,2.8571,2.5714,0.4286,3.8571,106.8,99.5861,2012,6.4,73,1
Quincy Miller,Baylor,38,22556,10.8333,1.3611,0.6389,0.6111,4.9167,107.8,98.0693,2012,6.9,122,1
Luke Babbitt,Nevada,16,6121,16.6875,1.375,0.7188,0.6875,7.4375,111.5,98.7323,2009,6.9,1392,1
Ivan Rabb,California,35,41316,12.5294,0.9118,0.5294,1.2353,8.5294,120.5,94.3616,2016,6.11,93,1
James Ennis,Long Beach St.,50,19743,16.0323,2.129,1.7419,1.2903,6.4516,111,101.415,2013,6.7,4,1
Norman Powell,UCLA,46,22006,6.0571,1.0571,0.7143,0.5143,2.1714,96.1,100.571,2013,6.4,115,1
Moses Moody,Arkansas,14,72944,16.8438,1.5625,1,0.6562,5.75,116,98.2513,2021,6.6,437,1
Payton Pritchard,Oregon,26,47506,14.5278,4.75,1.4167,0,3.8333,116.8,104.943,2018,6.2,136,1
Raiquan Gray,Florida St.,59,65720,5.9655,1.3793,1.069,0.6552,3.8276,91,91.7055,2020,6.8,24,1
Chimezie Metu,USC,49,39509,14.8333,1.3889,0.7778,1.5278,7.7778,111.4,101.731,2017,6.11,57,1
Alex Len,Maryland,5,19499,5.9545,0.5909,0.1818,2.1364,5.4091,98.6,99.3619,2012,7.1,40,1
Lavoy Allen,Temple,50,1089,11.5758,2.2727,0.697,1.8485,8.5758,107.7,92.0014,2011,6.9,27,1
Jared Butler,Baylor,40,66113,10.2353,2.7353,0.9706,0.0882,3.1176,106.6,103.566,2019,6.3,122,1
Darius Miller,Kentucky,46,7229,9.925,2.05,0.825,0.325,2.75,117.9,96.5786,2012,6.8,307,1
Mfiondu Kabengele,Florida St.,27,48424,7.2059,0.2941,0.4412,0.8529,4.6471,108.6,96.0667,2018,6.8,24,1
Jaylen Brown,California,3,38792,14.6471,1.9706,0.7941,0.6471,5.3529,95.4,96.1781,2016,6.7,93,1
Chandler Hutchison,Boise St.,22,36559,17.4062,2.625,1.2188,0.1875,7.8125,104.1,99.5474,2017,6.7,820,1
John Jenkins,Vanderbilt,23,11858,19.5,1.2188,0.75,0.3125,2.9688,124.5,103.598,2011,6.3,173,1
Georges Niang,Iowa St.,50,25519,12.0571,1.8286,0.6571,0.2286,4.5714,116.7,100.858,2013,6.7,291,1
Terry Rozier,Louisville,16,29506,7,1.8108,1.027,0.0541,3.0811,116,88.9598,2014,6.1,139,1
George King,Colorado,59,29633,13.8182,0.6667,0.3939,0.2424,4.697,110.3,102.525,2016,6.6,1635,1
Hasheem Thabeet,Connecticut,2,2709,13.5714,0.4857,0.6286,4.2,10.7143,118.7,83.8351,2009,7.3,188,1
DeJuan Blair,Pittsburgh,37,1313,15.6061,1.2424,1.6061,0.9091,12.303,125.8,86.5716,2009,6.7,328,1
Josh Richardson,Tennessee,40,20063,10.3056,1.5,0.75,0.8333,2.8889,118.9,100.726,2014,6.6,286,1
Marcus Thornton,William & Mary,45,19793,18.9655,2.7931,0.8621,0.5172,2.7586,107.4,109.103,2013,6.4,23,1
DeAndre Liggins,Kentucky,53,7228,8.6316,2.5263,1.2105,0.7368,4.0263,106.5,95.8686,2011,6.6,307,1
Jarrett Culver,Texas Tech,6,51280,11.1622,1.7027,1.1081,0.7027,4.7568,109.6,92.626,2018,6.5,983,1
Chandler Parsons,Florida,38,2243,11.3056,3.7778,0.9444,0.4167,7.75,110.3,95.262,2011,6.10,31,1
Steven Adams,Pittsburgh,12,26892,7.2188,0.625,0.6562,2.0312,6.3438,109.7,86.5013,2013,7.0,328,1
Justin Anderson,Virginia,21,28488,7.6,2.3143,0.8571,1.2,3.3143,106.3,88.9786,2013,6.6,201,1
Willie Cauley-Stein,Kentucky,6,24136,8.3448,0.931,0.8276,2.069,6.1724,103.5,90.3763,2013,7.0,307,1
Moritz Wagner,Michigan,25,40399,14.6154,0.8462,0.9744,0.5128,7.1282,114.8,92.2554,2018,6.11,268,1
Ike Anigbogu,UCLA,47,44630,4.7241,0.2069,0.1724,1.2069,4.0345,106.1,97.6021,2017,6.10,115,1
Quincy Pondexter,Washington,26,3829,12.1176,1.6176,0.6765,0.3529,6.0294,111.8,98.1771,2009,6.7,29,1
Ray Spalding,Louisville,56,41745,12.3333,1.2778,1.5,1.7222,8.6667,111.8,91.6831,2018,6.10,139,1
Kadeem Allen,Arizona,53,34157,8.3824,3.5588,1.0294,0.7941,3.1176,105.3,95.2047,2016,6.3,354,1
Nigel Williams-Goss,Washington,55,33186,15.6,5.9,1.1,0.1667,4.7,103.5,105.075,2015,6.4,29,1
Jerome Robinson,Boston College,13,43548,11.6957,3.0435,1.3913,0.3043,4.0435,90.2,104.825,2016,6.5,47,1
Devonte' Graham,Kansas,34,34391,13.3611,4.1389,1.5278,0.1944,3.1111,120.1,102.712,2017,6.2,310,1
Talen Horton-Tucker,Iowa St.,46,65661,11.8286,2.3429,1.2857,0.6571,4.8286,98.4,96.8317,2019,6.4,291,1
Darrun Hilliard,Villanova,38,21234,14.2941,2.6471,1.2941,0.5,3.6471,114.4,97.1665,2014,6.6,140,1
