player_name,team,pick,pid,pts,ast,stl,blk,treb,Ortg,drtg,year,ht,elevation (m),drafted,...16,...17
Colton Iverson,Minnesota,53,28225,5.0286,0.6,0.3429,0.9143,4.3714,90.8,94.1278,2010,6.1,253,1,NA,NA
Wes Johnson,Syracuse,4,49721,16.4857,2.2286,1.6571,1.8286,8.5429,116.1,89.9009,2010,6.7,116,1,NA,NA
E'Twaun Moore,Purdue,55,201,18,3.1765,1.2059,0.5294,5.1471,112.1,93.887200000000007,2011,6.4,190,1,NA,NA
JaJuan Johnson,Purdue,27,203,20.5294,0.9706,0.8824,2.3235,8.5588,113.9,89.3372,2011,6.1,190,1,NA,NA
Lavoy Allen,Temple,50,1089,11.5758,2.2727,0.697,1.8485,8.5758,107.7,92.0014,2011,6.9,27,1,NA,NA
Kenneth Faried,Morehead St.,22,1626,17.25,1.0312,1.9062,2.1875,14.375,115.1,85.7528,2011,6.8,304,1,NA,NA
Jon Leuer,Wisconsin,40,1932,18.2647,1.6471,0.5,0.8824,7.2353,116.8,98.659,2011,6.1,269,1,NA,NA
Chandler Parsons,Florida,38,2243,11.3056,3.7778,0.9444,0.4167,7.75,110.3,95.262,2011,6.1,31,1,NA,NA
Robert Sacre,Gonzaga,60,2747,12.5294,1.1176,0.7647,1.8529,6.4412,110.7,92.7036,2011,7,582,1,NA,NA
Norris Cole,Cleveland St.,28,4149,21.6765,5.4412,2.1765,0.0882,5.8824,112.9,93.3699,2011,6.2,203,1,NA,NA
Kris Joseph,Syracuse,51,4748,14.1515,2.1212,1.5152,0.6364,5.1818,108.7,95.0555,2011,6.7,116,1,NA,NA
Chris Singleton,Florida St.,18,7190,13.1071,1.1786,1.9643,1.4643,6.8214,102.7,83.4244,2011,6.9,24,1,NA,NA
Isaiah Thomas,Washington,60,8712,16.7714,6.0857,1.3429,0.0571,3.5143,114.3,99.5797,2011,5.9,29,1,NA,NA
Marcus Morris,Kansas,14,8822,17.2105,1.6316,0.8421,0.6316,7.6316,122.3,91.705,2011,6.9,310,1,NA,NA
John Henson,North Carolina,14,10202,11.7027,0.8108,0.5946,3.1892,10.1081,98.1,85.5676,2011,6.1,134,1,NA,NA
Jeff Withey,Kansas,39,10238,2.3462,0.1923,0.1923,0.7308,1.7692,109,86.8141,2011,7,310,1,NA,NA
Orlando Johnson,UC Santa Barbara,36,10632,21.7333,2.8333,1.2667,0.4667,6.2667,112.2,99.3098,2011,6.5,13,1,NA,NA
Jordan Hamilton,Texas,26,11388,18.6389,2.1111,0.8611,0.6389,7.6667,113.6,89.7318,2011,6.7,159,1,NA,NA
Solomon Hill,Arizona,23,11698,7.9737,1.7368,0.8421,0.1842,4.7105,110.6,99.5799,2011,6.6,354,1,NA,NA
John Jenkins,Vanderbilt,23,11858,19.5,1.2188,0.75,0.3125,2.9688,124.5,103.598,2011,6.3,173,1,NA,NA
Erik Murphy,Florida,49,13540,4.2727,0.2424,0.1515,0.4545,2.2727,109.3,96.3422,2011,6.1,31,1,NA,NA
Jared Cunningham,Oregon St.,24,13618,14.2333,2.1,2.8333,0.2,3.0667,107.8,99.8612,2011,6.4,73,1,NA,NA
Marshon Brooks,Providence,25,14026,24.625,2.5,1.5,1.2188,7.0312,115.3,103.053,2011,6.5,46,1,NA,NA
Alex Oriakhi,Connecticut,57,14117,9.5854,0.3659,0.3902,1.6341,8.7317,113.7,96.1062,2011,6.9,188,1,NA,NA
Mike Muscala,Bucknell,44,14685,14.9118,1.3824,0.4118,1.9706,7.2941,110.6,91.0505,2011,6.1,160,1,NA,NA
Kendall Marshall,North Carolina,13,16380,6.2162,6.2162,1.0811,0.0811,2.0811,100.9,97.2878,2011,6.3,134,1,NA,NA
Anthony Brown,Stanford,34,16684,8.7,0.7667,0.5333,0.2333,3.2333,107.2,100.61,2011,6.6,27,1,NA,NA
Jamaal Franklin,San Diego St.,41,16788,2.7,0.5,0.2,0.2,1.85,101,91.1336,2011,6.5,133,1,NA,NA
Adreian Payne,Michigan St.,15,16825,2.5758,0.1515,0.2727,0.8485,2.3939,91,93.8686,2011,6.1,263,1,NA,NA
Dwight Powell,Stanford,45,17946,8.129,0.9677,0.7742,0.9032,5.1613,102.6,94.4292,2011,6.9,27,1,NA,NA
Jared Sullinger,Ohio St.,21,18035,17.1622,1.1622,1,0.5405,10.1892,121.1,88.8615,2011,6.9,226,1,NA,NA
Deshaun Thomas,Ohio St.,58,18055,7.5135,0.4595,0.3784,0.1622,3.5405,115.9,93.5767,2011,6.6,226,1,NA,NA
Kyrie Irving,Duke,1,18579,17.4545,4.2727,1.4545,0.5455,3.3636,130.5,91.7011,2011,6.2,120,1,NA,NA
Alec Brown,Green Bay,50,19005,10.2903,0.4194,0.3548,1.9677,5.5806,107.2,102.079,2011,7.1,182,1,NA,NA
Kris Joseph,Syracuse,51,4748,13.4054,1.5135,1.3514,0.6216,4.7027,110.6,95.3043,2012,6.7,116,1,NA,NA
Tyler Zeller,North Carolina,17,6927,16.3421,0.9474,0.8947,1.5263,9.6053,121.2,88.5932,2012,7,134,1,NA,NA
Jeffery Taylor,Vanderbilt,31,8208,16.1389,1.7222,1.2778,0.4444,5.5556,111.6,98.1097,2012,6.7,173,1,NA,NA
Kim English,Missouri,44,9696,14.4857,1.6,1.2857,0.2857,4.2286,120.8,100.87,2012,6.6,228,1,NA,NA
Glen Rice,Georgia Tech,35,10728,13.0476,2.2857,1.3333,0.8571,6.7143,103.9,94.06,2012,6.5,283,1,NA,NA
Peyton Siva,Louisville,56,13289,9.1316,5.5526,1.6842,0.1316,3.1842,92.1,91.7182,2012,6,139,1,NA,NA
Erik Murphy,Florida,49,13540,10.4706,0.8529,0.5294,1.0882,4.5294,116.7,98.4296,2012,6.1,31,1,NA,NA
Erick Green,Virginia Tech,46,13728,15.5806,2.8387,1.3226,0.129,3.2581,113.2,99.5927,2012,6.4,629,1,NA,NA
Alex Oriakhi,Connecticut,57,14117,6.6765,0.2941,0.1176,1.3235,4.7941,98.3,100.661,2012,6.9,188,1,NA,NA
Fab Melo,Syracuse,22,14982,7.8,0.7,0.5,2.9333,5.8333,110.3,92.5235,2012,7,116,1,NA,NA
Jordan Clarkson,Tulsa,46,15896,16.4839,2.5484,0.9355,0.5484,3.871,106.6,99.5635,2012,6.4,191,1,NA,NA
Adreian Payne,Michigan St.,15,16825,7,0.3243,0.6757,1.0541,4.2432,111.7,87.3314,2012,6.1,263,1,NA,NA
Joe Harris,Virginia,33,17280,11.3125,1.7188,0.7188,0.375,3.875,109.2,90.7005,2012,6.6,201,1,NA,NA
Lorenzo Brown,North Carolina St.,52,17642,12.7027,6.3243,1.8108,0.5405,4.5405,104.7,98.388,2012,6.5,123,1,NA,NA
Dwight Powell,Stanford,45,17946,5.7714,0.7429,0.8,0.6,4.6,93.4,85.7868,2012,6.9,27,1,NA,NA
Carrick Felix,Arizona St.,33,18207,10.5172,1.3103,1.1034,0.7586,4.0345,96,105.274,2012,6.6,354,1,NA,NA
Shabazz Napier,Connecticut,24,18516,12.9706,5.8235,1.6471,0.2647,3.5294,107.4,101.471,2012,6,188,1,NA,NA
Tony Snell,New Mexico,20,19313,10.5,2.3235,0.5,0.3824,2.6176,116,94.2975,2012,6.7,1577,1,NA,NA
Rodney Hood,Mississippi St.,23,19693,10.25,2,0.4062,0.4375,4.7812,113.2,104.614,2012,6.8,116,1,NA,NA
Moe Harkless,St. John's,15,21044,15.5312,1.4688,1.5938,1.4062,8.625,100,100.442,2012,6.8,39,1,NA,NA
Kentavious Caldwell-Pope,Georgia,8,21152,13.1875,1.2188,1.8125,0.3438,5.1875,104,97.9889,2012,6.5,222,1,NA,NA
Frank Kaminsky,Wisconsin,9,21292,1.8,0.2857,0.1143,0.3714,1.4286,106,90.1626,2012,6.11,269,1,NA,NA
Trey Burke,Michigan,9,21380,15.1818,4.7273,0.9091,0.3939,3.4545,106.6,102.512,2012,6.1,268,1,NA,NA
Austin Rivers,Duke,10,21892,15.5,2.0882,0.9706,0.0294,3.3824,104.8,102.8,2012,6.4,120,1,NA,NA
