ID,State,City,Lat,Long
133,Alaska,Naknek,58.885699,-156.705405
134,Alaska,Napakiak,60.663758,-161.738144
135,Alaska,Nenana,64.557656,-149.086744
136,Alaska,New Stuyahok,59.593533,-157.297205
137,Alaska,Nightmute,60.479444,-164.723889
138,Alaska,Nikiski,60.690278,-151.288889
139,Alaska,Nikolai,63.001603,-154.381247
140,Alaska,Nikolski,52.988337,-168.788427
141,Alaska,Ninilchik,60.010833,-151.639604
142,Alaska,Noatak,66.97553,-160.509453
143,Alaska,Nome,64.505775,-165.310667
144,Alaska,Nondalton,60.030837,-154.731675
145,Alaska,Noorvik,66.836353,-161.044132
146,Alaska,North Pole,64.78049,-147.369353
147,Alaska,Northway,62.964167,-141.908611
148,Alaska,Nuiqsut,70.192737,-150.997119
149,Alaska,Nulato,64.778024,-157.991353
150,Alaska,Nunam Iqua,62.509167,-164.453333
151,Alaska,Nunapitchuk,60.896944,-162.459444
152,Alaska,Old Harbor,57.202778,-153.303889
153,Alaska,Ouzinkie,57.925,-152.491667
154,Alaska,Palmer,61.613814,-149.065323
155,Alaska,Pedro Bay,59.92238,-153.821856
156,Alaska,Pelican,57.960833,-136.2275
157,Alaska,Perryville,55.945289,-159.259333
158,Alaska,Petersburg,56.827134,-133.160683
159,Alaska,Pilot Point,57.595193,-157.449272
160,Alaska,Pilot Station,61.946159,-162.874716
161,Alaska,Platinum,58.63364,-162.043201
162,Alaska,Point Baker,56.307858,-133.376372
163,Alaska,Point Hope,68.312058,-166.72618
164,Alaska,Point Lay,69.705626,-162.906148
165,Alaska,Port Alexander,57.05,-135.333333
166,Alaska,Port Alsworth,60.636416,-154.433803
167,Alaska,Port Heiden,56.964333,-158.566367
168,Alaska,Port Lions,57.866667,-152.883333
169,Alaska,Prudhoe Bay,70.070057,-148.559636
170,Alaska,Quinhagak,59.738057,-161.874938
171,Alaska,Rampart,65.383627,-150.011201
172,Alaska,Red Devil,61.735389,-157.195969
173,Alaska,Ruby,64.720062,-155.503872
174,Alaska,Russian Mission,61.591302,-161.558413
175,Alaska,Saint George Island,56.60324,-169.547257
176,Alaska,Saint Marys,62.054106,-163.205263
177,Alaska,Saint Michael,63.47759,-162.109141
178,Alaska,Saint Paul Island,57.178697,-170.293408
179,Alaska,Salcha,64.50905,-146.952974
180,Alaska,Sand Point,55.319236,-160.491435
181,Alaska,Savoonga,63.679737,-170.470908
182,Alaska,Scammon Bay,61.845019,-165.581945
183,Alaska,Selawik,65.713537,-158.534287
184,Alaska,Seldovia,59.436667,-151.708333
185,Alaska,Seward,60.132874,-149.39849
186,Alaska,Shageluk,62.661092,-159.52816
187,Alaska,Shaktoolik,64.375498,-161.174589
188,Alaska,Shishmaref,66.230562,-166.137276
189,Alaska,Shungnak,66.958141,-157.613496
190,Alaska,Sitka,57.051436,-135.316569
191,Alaska,Skagway,59.468471,-135.301794
192,Alaska,Skwentna,61.958333,-151.181667
193,Alaska,Sleetmute,61.634555,-157.118284
194,Alaska,Soldotna,60.481778,-151.13582
195,Alaska,South Naknek,58.736221,-156.850289
196,Alaska,Stebbins,63.478468,-162.227355
197,Alaska,Sterling,60.520373,-150.849792
198,Alaska,Stevens Village,65.995894,-149.118286
199,Alaska,Sutton,61.796667,-148.462778
200,Alaska,Takotna,62.948889,-155.566389
201,Alaska,Talkeetna,62.260516,-150.110097
202,Alaska,Tanacross,63.385278,-143.346389
203,Alaska,Tanana,65.156483,-152.103747
204,Alaska,Tatitlek,60.864722,-146.678611
205,Alaska,Teller,65.240164,-166.3833
206,Alaska,Tenakee Springs,57.78,-135.216667
207,Alaska,Thorne Bay,55.66086,-132.513815
208,Alaska,Togiak,59.066667,-160.4
209,Alaska,Tok,63.333333,-142.983333
210,Alaska,Toksook Bay,60.537,-165.097
211,Alaska,Trapper Creek,61.441361,-150.284455
212,Alaska,Tuluksak,61.108848,-160.938924
213,Alaska,Tuntutuliak,60.8438,-161.6372
214,Alaska,Tununak,60.539322,-165.097464
215,Alaska,Two Rivers,64.871944,-147.038056
216,Alaska,Tyonek,61.117929,-151.348495
217,Alaska,Unalakleet,63.883478,-160.788365
218,Alaska,Unalaska,53.887114,-166.519855
219,Alaska,Valdez,60.895044,-146.195628
220,Alaska,Venetie,67.010446,-146.413723
221,Alaska,Wainwright,70.620064,-160.012532
222,Alaska,Wales,65.688212,-168.520521
223,Alaska,Ward Cove,55.408333,-131.725
224,Alaska,Wasilla,61.5814,-149.4394
225,Alaska,White Mountain,64.702791,-163.42185
226,Alaska,Whittier,60.775,-148.683333
227,Alaska,Willow,61.771511,-150.188891
228,Alaska,Wrangell,56.433524,-132.352918
229,Alaska,Yakutat,59.620211,-139.778858
230,Alabama,Abbeville,31.575479,-85.279044
231,Alabama,Abernant,33.290278,-87.198056
232,Alabama,Adamsville,33.588437,-86.959727
233,Alabama,Addison,34.205571,-87.194766
234,Alabama,Adger,33.434277,-87.167455
235,Alabama,Akron,32.872354,-87.708558
236,Alabama,Alabaster,33.236868,-86.812861
237,Alabama,Alberta,32.144889,-87.342503
238,Alabama,Albertville,34.273859,-86.206447
239,Alabama,Alexander City,32.941445,-85.951086
240,Alabama,Alexandria,33.780785,-85.892447
241,Alabama,Aliceville,33.122813,-88.166689
242,Alabama,Allgood,33.911944,-86.509444
243,Alabama,Alma,31.463889,-87.753889
244,Alabama,Alpine,33.331165,-86.208934
245,Alabama,Alton,33.579167,-86.6375
246,Alabama,Altoona,34.042916,-86.350879
247,Alabama,Andalusia,31.297142,-86.490468
248,Alabama,Anderson,34.951777,-87.272327
249,Alabama,Annemanie,32.052778,-87.570833
250,Alabama,Anniston,33.653896,-85.838152
251,Alabama,Arab,34.328339,-86.489638
252,Alabama,Ardmore,34.980447,-86.834612
253,Alabama,Ariton,31.582996,-85.707716
254,Alabama,Arley,34.063234,-87.182761
255,Alabama,Arlington,32.066784,-87.559691
256,Alabama,Ashford,31.1888,-85.253488
257,Alabama,Ashland,33.247363,-85.828976
258,Alabama,Ashville,33.837366,-86.255167
259,Alabama,Athens,34.803604,-86.970733
260,Alabama,Atmore,31.057245,-87.487347
261,Alabama,Attalla,34.029597,-86.096717
262,Alabama,Auburn,32.602043,-85.489001
263,Alabama,Auburn University,32.601,-85.4882
264,Alabama,Autaugaville,32.462462,-86.714938
265,Alabama,Axis,31.006817,-88.04274
266,Alabama,Baileyton,34.268298,-86.621299
267,Alabama,Banks,31.836792,-85.799844
268,Alabama,Bankston,33.70083,-87.68965
269,Alabama,Bay Minette,30.86354,-87.76444
270,Alabama,Bayou La Batre,30.407983,-88.250697
271,Alabama,Bear Creek,34.213469,-87.686083
272,Alabama,Beatrice,31.727324,-87.171912
273,Alabama,Beaverton,33.942877,-88.01567
274,Alabama,Belk,33.6475,-87.931389
275,Alabama,Bellamy,32.448889,-88.133611
276,Alabama,Belle Mina,34.656667,-86.879167
277,Alabama,Bellwood,31.173056,-85.793333
278,Alabama,Berry,33.694485,-87.622563
279,Alabama,Bessemer,33.409002,-86.947547
280,Alabama,Billingsley,32.610578,-86.716301
281,Alabama,Birmingham,33.519,-86.8014
282,Alabama,Birmingham,33.401559,-86.705511
283,Alabama,Black,31.01318,-85.745634
284,Alabama,Blountsville,34.092937,-86.568628
285,Alabama,Boaz,34.173889,-86.121111
286,Alabama,Boaz,34.173686,-86.148003
287,Alabama,Boligee,32.774646,-88.026652
288,Alabama,Bon Air,33.263611,-86.335556
